Category: All categories

Month,meal kits: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,12
2004-05,20
2004-06,10
2004-07,0
2004-08,19
2004-09,0
2004-10,9
2004-11,0
2004-12,9
2005-01,0
2005-02,8
2005-03,0
2005-04,7
2005-05,6
2005-06,0
2005-07,7
2005-08,0
2005-09,0
2005-10,11
2005-11,5
2005-12,5
2006-01,5
2006-02,0
2006-03,4
2006-04,9
2006-05,0
2006-06,4
2006-07,4
2006-08,4
2006-09,6
2006-10,0
2006-11,3
2006-12,3
2007-01,5
2007-02,0
2007-03,6
2007-04,0
2007-05,2
2007-06,3
2007-07,3
2007-08,4
2007-09,2
2007-10,3
2007-11,3
2007-12,4
2008-01,4
2008-02,3
2008-03,2
2008-04,2
2008-05,3
2008-06,2
2008-07,5
2008-08,2
2008-09,2
2008-10,2
2008-11,2
2008-12,3
2009-01,2
2009-02,4
2009-03,3
2009-04,1
2009-05,1
2009-06,1
2009-07,3
2009-08,1
2009-09,2
2009-10,2
2009-11,2
2009-12,3
2010-01,2
2010-02,2
2010-03,2
2010-04,1
2010-05,2
2010-06,1
2010-07,3
2010-08,2
2010-09,2
2010-10,2
2010-11,1
2010-12,1
2011-01,2
2011-02,1
2011-03,2
2011-04,2
2011-05,1
2011-06,1
2011-07,1
2011-08,4
2011-09,2
2011-10,1
2011-11,2
2011-12,2
2012-01,1
2012-02,2
2012-03,1
2012-04,2
2012-05,2
2012-06,2
2012-07,1
2012-08,2
2012-09,3
2012-10,1
2012-11,2
2012-12,2
2013-01,1
2013-02,1
2013-03,2
2013-04,1
2013-05,1
2013-06,2
2013-07,2
2013-08,3
2013-09,2
2013-10,2
2013-11,2
2013-12,3
2014-01,3
2014-02,2
2014-03,2
2014-04,3
2014-05,2
2014-06,1
2014-07,3
2014-08,2
2014-09,2
2014-10,2
2014-11,3
2014-12,2
2015-01,3
2015-02,3
2015-03,3
2015-04,3
2015-05,3
2015-06,3
2015-07,5
2015-08,4
2015-09,4
2015-10,5
2015-11,4
2015-12,5
2016-01,6
2016-02,5
2016-03,7
2016-04,9
2016-05,7
2016-06,8
2016-07,10
2016-08,9
2016-09,11
2016-10,11
2016-11,11
2016-12,9
2017-01,13
2017-02,13
2017-03,14
2017-04,13
2017-05,16
2017-06,14
2017-07,42
2017-08,23
2017-09,22
2017-10,25
2017-11,20
2017-12,24
2018-01,42
2018-02,32
2018-03,52
2018-04,37
2018-05,40
2018-06,40
2018-07,47
2018-08,53
2018-09,50
2018-10,51
2018-11,46
2018-12,43
2019-01,59
2019-02,46
2019-03,48
2019-04,48
2019-05,46
2019-06,41
2019-07,43
2019-08,55
2019-09,55
2019-10,51
2019-11,47
2019-12,47
2020-01,74
2020-02,63
2020-03,69
2020-04,90
2020-05,100
